Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2025-02-21T14:30:13+0000,Trade,Sell to Open,SELL_TO_OPEN,LUNR  250228P00018000,Equity Option,Sold 1 LUNR 02/28/25 Put 18.00 @ 1.11,111.00,1,111.00,-1.00,-0.14,100,LUNR,LUNR,2/28/25,18,PUT,367973707,109.86,USD
2025-02-21T14:30:13+0000,Trade,Buy to Close,BUY_TO_CLOSE,LUNR  250221P00019000,Equity Option,Bought 1 LUNR 02/21/25 Put 19.00 @ 0.10,-10.00,1,-10.00,0.00,-0.13,100,LUNR,LUNR,2/21/25,19,PUT,367973707,-10.13,USD
2025-02-19T16:35:57+0000,Trade,Sell to Open,SELL_TO_OPEN,LUNR  250221P00019000,Equity Option,Sold 1 LUNR 02/21/25 Put 19.00 @ 0.19,19.00,1,19.00,-1.00,-0.14,100,LUNR,LUNR,2/21/25,19,PUT,367537702,17.86,USD
2025-02-19T16:26:10+0000,Trade,Buy to Close,BUY_TO_CLOSE,LUNR  250221P00017500,Equity Option,Bought 1 LUNR 02/21/25 Put 17.50 @ 0.05,-5.00,1,-5.00,0.00,-0.13,100,LUNR,LUNR,2/21/25,17.5,PUT,367514995,-5.13,USD
2025-02-18T19:16:18+0000,Trade,Sell to Open,SELL_TO_OPEN,LUNR  250221P00017500,Equity Option,Sold 1 LUNR 02/21/25 Put 17.50 @ 0.15,15.00,1,15.00,-1.00,-0.14,100,LUNR,LUNR,2/21/25,17.5,PUT,367350540,13.86,USD
2025-02-18T15:06:49+0000,Trade,Buy to Close,BUY_TO_CLOSE,LUNR  250221P00017000,Equity Option,Bought 1 LUNR 02/21/25 Put 17.00 @ 0.04,-4.00,1,-4.00,0.00,-0.13,100,LUNR,LUNR,2/21/25,17,PUT,367130096,-4.13,USD
2025-02-15T18:39:12+0000,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.04,0,,--,0.00,,,,,,,,-0.04,USD
2025-02-14T17:58:59+0000,Trade,Sell to Open,SELL_TO_OPEN,LUNR  250221P00017000,Equity Option,Sold 1 LUNR 02/21/25 Put 17.00 @ 0.24,24.00,1,24.00,-1.00,-0.14,100,LUNR,LUNR,2/21/25,17,PUT,367013278,22.86,USD
2025-02-13T20:24:25+0000,Trade,Buy to Close,BUY_TO_CLOSE,IREN  250214P00012000,Equity Option,Bought 1 IREN 02/14/25 Put 12.00 @ 0.04,-4.00,1,-4.00,0.00,-0.13,100,IREN,IREN,2/14/25,12,PUT,366791101,-4.13,USD
2025-02-12T20:23:54+0000,Trade,Sell to Open,SELL_TO_OPEN,IREN  250214P00012000,Equity Option,Sold 1 IREN 02/14/25 Put 12.00 @ 0.29,29.00,1,29.00,-1.00,-0.14,100,IREN,IREN,2/14/25,12,PUT,366499493,27.86,USD
